mgrname,mgrno,rdate,prdate,cusip,shares,no,change,stkname,ticker,indcode,prc,shrout1
BERKSHIRE HATHAWAY INC,8350,12/31/1995,,37576610,48000000,,,GILLETTE CO,G,,52.13,444
BERKSHIRE HATHAWAY INC,8350,12/31/1995,,69362410,1208032,,,PS GROUP INC,PSG,,10.75,6
BERKSHIRE HATHAWAY INC,8350,12/31/1995,,79549B10,6633600,,,SALOMON INC,SB,,35.38,106
BERKSHIRE HATHAWAY INC,8350,12/31/1995,,89102710,331281,,,TORCHMARK CORP,TMK,,45.25,72
BERKSHIRE HATHAWAY INC,8350,12/31/1995,,93964010,1727765,,,WASHINGTON POST CO,WPO,,282.00,11
BERKSHIRE HATHAWAY INC,8350,12/31/1995,,94974010,6791218,,,WELLS FARGO & CO,WFC,,216.00,47
BERKSHIRE HATHAWAY INC,8350,12/31/1995,,95081710,5703087,,,WESCO FINL CORP,WSC,,182.00,7
BERKSHIRE HATHAWAY INC,8350,03/31/1996,,19121610,100000000,,,COCA COLA CO,KO,,82.75,1251
BERKSHIRE HATHAWAY INC,8350,03/31/1996,,36955010,4963703,,,GENERAL DYNAMICS CORP,GD,,58.50,63
BERKSHIRE HATHAWAY INC,8350,03/31/1996,,37576610,48000000,,,GILLETTE CO,G,,51.75,444
BERKSHIRE HATHAWAY INC,8350,03/31/1996,,69362410,1208032,,,PS GROUP INC,PSG,,11.13,6
BERKSHIRE HATHAWAY INC,8350,03/31/1996,,79549B10,6633600,,,SALOMON INC,SB,,37.50,106
BERKSHIRE HATHAWAY INC,8350,03/31/1996,,89102710,331281,,,TORCHMARK CORP,TMK,,45.00,72
BERKSHIRE HATHAWAY INC,8350,03/31/1996,,93964010,1727765,,,WASHINGTON POST CO,WPO,,298.13,11
BERKSHIRE HATHAWAY INC,8350,03/31/1996,,94974010,7291418,,500200,WELLS FARGO & CO,WFC,,261.25,47
BERKSHIRE HATHAWAY INC,8350,03/31/1996,,95081710,5703087,,,WESCO FINL CORP,WSC,,170.00,7
BERKSHIRE HATHAWAY INC,8350,06/30/1996,,19121610,200000000,,,COCA COLA CO,KO,,49.00,2496
BERKSHIRE HATHAWAY INC,8350,06/30/1996,,36955010,4898303,,-65400,GENERAL DYNAMICS CORP,GD,,62.00,63
BERKSHIRE HATHAWAY INC,8350,06/30/1996,,37576610,48000000,,,GILLETTE CO,G,,62.38,445
BERKSHIRE HATHAWAY INC,8350,06/30/1996,,69362210,1208032,,,PS GROUP HLDGS INC,PSG,,13.75,6
BERKSHIRE HATHAWAY INC,8350,06/30/1996,,79549B10,6633600,,,SALOMON INC,SB,,44.00,105
BERKSHIRE HATHAWAY INC,8350,06/30/1996,,89102710,331281,,,TORCHMARK CORP,TMK,,43.75,72
BERKSHIRE HATHAWAY INC,8350,06/30/1996,,93964010,1727765,,,WASHINGTON POST CO,WPO,,324.00,11
BERKSHIRE HATHAWAY INC,8350,06/30/1996,,94974010,7291418,,,WELLS FARGO & CO,WFC,,239.13,98
BERKSHIRE HATHAWAY INC,8350,06/30/1996,,95081710,5703087,,,WESCO FINL CORP,WSC,,160.25,7
BERKSHIRE HATHAWAY INC,8350,09/30/1996,,19121610,200000000,,,COCA COLA CO,KO,,50.88,2496
BERKSHIRE HATHAWAY INC,8350,09/30/1996,,36955010,4522803,,-375500,GENERAL DYNAMICS CORP,GD,,68.88,63
BERKSHIRE HATHAWAY INC,8350,09/30/1996,,37576610,48000000,,,GILLETTE CO,G,,72.13,445
BERKSHIRE HATHAWAY INC,8350,09/30/1996,,69362210,1208032,,,PS GROUP HLDGS INC,PSG,,12.88,6
BERKSHIRE HATHAWAY INC,8350,09/30/1996,,79549B10,6633600,,,SALOMON INC,SB,,45.63,105
BERKSHIRE HATHAWAY INC,8350,09/30/1996,,89102710,331281,,,TORCHMARK CORP,TMK,,45.88,72
BERKSHIRE HATHAWAY INC,8350,09/30/1996,,93964010,1727765,,,WASHINGTON POST CO,WPO,,349.00,11
BERKSHIRE HATHAWAY INC,8350,09/30/1996,,94974010,7291418,,,WELLS FARGO & CO,WFC,,260.00,96
BERKSHIRE HATHAWAY INC,8350,09/30/1996,,95081710,5703087,,,WESCO FINL CORP,WSC,,174.00,7
BERKSHIRE HATHAWAY INC,8350,12/31/1996,,19121610,200000000,,,COCA COLA CO,KO,,52.63,2492
BERKSHIRE HATHAWAY INC,8350,12/31/1996,,36955010,4296471,,-226332,GENERAL DYNAMICS CORP,GD,,70.75,63
BERKSHIRE HATHAWAY INC,8350,12/31/1996,,37576610,48000000,,,GILLETTE CO,G,,77.75,446
BERKSHIRE HATHAWAY INC,8350,12/31/1996,,69362210,1208032,,,PS GROUP HLDGS INC,PSG,,13.50,6
BERKSHIRE HATHAWAY INC,8350,12/31/1996,,79549B10,10407806,,3774206,SALOMON INC,SB,,47.13,105
BERKSHIRE HATHAWAY INC,8350,12/31/1996,,89102710,331281,,,TORCHMARK CORP,TMK,,50.50,72
BERKSHIRE HATHAWAY INC,8350,12/31/1996,,93964010,1727765,,,WASHINGTON POST CO,WPO,,335.13,11
BERKSHIRE HATHAWAY INC,8350,12/31/1996,,94974010,7291418,,,WELLS FARGO & CO,WFC,,269.75,94
BERKSHIRE HATHAWAY INC,8350,12/31/1996,,95081710,5703087,,,WESCO FINL CORP,WSC,,187.00,7
BERKSHIRE HATHAWAY INC,8350,03/31/1997,,19121610,200000000,,,COCA COLA CO,KO,,55.75,2488
BERKSHIRE HATHAWAY INC,8350,03/31/1997,,36955010,4296471,,,GENERAL DYNAMICS CORP,GD,,67.63,63
BERKSHIRE HATHAWAY INC,8350,03/31/1997,,37576610,48000000,,,GILLETTE CO,G,,72.63,555
BERKSHIRE HATHAWAY INC,8350,03/31/1997,,69362210,1208032,,,PS GROUP HLDG INC,PSG,,14.00,6
BERKSHIRE HATHAWAY INC,8350,03/31/1997,,79549B10,10317806,,-90000,SALOMON INC,SB,,49.88,109
BERKSHIRE HATHAWAY INC,8350,03/31/1997,,89102710,331281,,,TORCHMARK CORP,TMK,,55.38,70
BERKSHIRE HATHAWAY INC,8350,03/31/1997,,93964010,1727765,,,WASHINGTON POST CO,WPO,,344.00,9
BERKSHIRE HATHAWAY INC,8350,03/31/1997,,94974010,6996418,,-295000,WELLS FARGO & COMPANY,WFC,,284.13,91
BERKSHIRE HATHAWAY INC,8350,03/31/1997,,95081710,5703087,,,WESCO FINL CORP,WSC,,205.00,7
BERKSHIRE HATHAWAY INC,8350,06/30/1997,,19121610,200000000,,,COCA COLA CO,KO,,68.00,2479
BERKSHIRE HATHAWAY INC,8350,06/30/1997,,37576610,48000000,,,GILLETTE CO,G,,94.75,557
BERKSHIRE HATHAWAY INC,8350,06/30/1997,,69362210,1208032,,,PS GROUP HLDG INC,PSG,,12.88,6
BERKSHIRE HATHAWAY INC,8350,06/30/1997,,79549B10,10317806,,,SALOMON INC,SB,,55.63,108
BERKSHIRE HATHAWAY INC,8350,06/30/1997,,93964010,1727765,,,WASHINGTON POST CO,WPO,,402.00,9
BERKSHIRE HATHAWAY INC,8350,06/30/1997,,95081710,5703087,,,WESCO FINL CORP,WSC,,325.25,7
BERKSHIRE HATHAWAY INC,8350,09/30/1997,,19121610,200000000,,,COCA COLA CO,KO,,61.00,2480
BERKSHIRE HATHAWAY INC,8350,09/30/1997,,37576610,48000000,,,GILLETTE CO,G,,86.31,560
BERKSHIRE HATHAWAY INC,8350,09/30/1997,,69362210,1208032,,,PS GROUP HLDG INC,PSG,,13.56,6
BERKSHIRE HATHAWAY INC,8350,09/30/1997,,79549B10,10317806,,,SALOMON INC,SB,,75.19,107
BERKSHIRE HATHAWAY INC,8350,09/30/1997,,93964010,1727765,,,WASHINGTON POST CO,WPO,,448.13,9
BERKSHIRE HATHAWAY INC,8350,09/30/1997,,95081710,5703087,,,WESCO FINL CORP,WSC,,315.00,7
BERKSHIRE HATHAWAY INC,8350,12/31/1997,,19121610,200000000,,,COCA COLA CO,KO,,66.69,2473
BERKSHIRE HATHAWAY INC,8350,12/31/1997,,37576610,48000000,,,GILLETTE CO,G,,100.44,560
BERKSHIRE HATHAWAY INC,8350,12/31/1997,,69362210,1208032,,,PS GROUP HLDG INC,PSG,,12.50,6
BERKSHIRE HATHAWAY INC,8350,12/31/1997,,93964010,1727765,,,WASHINGTON POST CO,WPO,,486.50,9
BERKSHIRE HATHAWAY INC,8350,12/31/1997,,95081710,5703087,,,WESCO FINL CORP,WSC,,300.00,7
BERKSHIRE HATHAWAY INC,8350,03/31/1998,,19121610,200000000,,,COCA COLA CO,KO,,77.44,2471
BERKSHIRE HATHAWAY INC,8350,03/31/1998,,37576610,48000000,,,GILLETTE CO,G,,118.69,561
BERKSHIRE HATHAWAY INC,8350,03/31/1998,,69362210,1208032,,,PS GROUP HLDG INC,PSG,,12.94,6
BERKSHIRE HATHAWAY INC,8350,03/31/1998,,93964010,1727765,,,WASHINGTON POST CO,WPO,,531.81,8
BERKSHIRE HATHAWAY INC,8350,03/31/1998,,95081710,5703087,,,WESCO FINL CORP,WSC,,365.25,7
BERKSHIRE HATHAWAY INC,8350,06/30/1998,,02581610,49456900,,,AMERICAN EXPRESS CO,AXP,,113.75,461
BERKSHIRE HATHAWAY INC,8350,06/30/1998,,19121610,200000000,,,COCA COLA CO,KO,,85.50,2469
BERKSHIRE HATHAWAY INC,8350,06/30/1998,,37576610,96000000,,,GILLETTE CO,G,,56.88,1123
BERKSHIRE HATHAWAY INC,8350,06/30/1998,,55261F10,506930,,506930,M & T BK CORP,MTB,,554.00,8
BERKSHIRE HATHAWAY INC,8350,06/30/1998,,69362210,1208032,,,PS GROUP HLDG INC,PSG,,12.25,6
BERKSHIRE HATHAWAY INC,8350,06/30/1998,,86791410,6641400,,6641400,SUNTRUST BKS INC,STI,,81.31,211
BERKSHIRE HATHAWAY INC,8350,06/30/1998,,93964010,1727765,,,WASHINGTON POST CO,WPO,,579.00,8
BERKSHIRE HATHAWAY INC,8350,06/30/1998,,95081710,5703087,,,WESCO FINL CORP,WSC,,391.00,7
BERKSHIRE HATHAWAY INC,8350,09/30/1998,,02581610,49456900,,,AMERICAN EXPRESS CO,AXP,,77.63,456
BERKSHIRE HATHAWAY INC,8350,09/30/1998,,19121610,200000000,,,COCA COLA CO,KO,,57.63,2465
BERKSHIRE HATHAWAY INC,8350,09/30/1998,,37576610,96000000,,,GILLETTE CO,G,,38.25,1123
BERKSHIRE HATHAWAY INC,8350,09/30/1998,,55261F10,506930,,,M & T BK CORP,MTB,,461.00,8
BERKSHIRE HATHAWAY INC,8350,09/30/1998,,69362210,1208032,,,PS GROUP HLDG INC,PSG,,11.63,6
BERKSHIRE HATHAWAY INC,8350,09/30/1998,,86791410,6641400,,,SUNTRUST BKS INC,STI,,62.00,209
BERKSHIRE HATHAWAY INC,8350,09/30/1998,,93964010,1727765,,,WASHINGTON POST CO,WPO,,511.00,8
BERKSHIRE HATHAWAY INC,8350,09/30/1998,,95081710,5703087,,,WESCO FINL CORP,WSC,,292.00,7
BERKSHIRE HATHAWAY INC,8350,12/31/1998,,02581610,50536900,,1080000,AMERICAN EXPRESS CO,AXP,,102.50,452
BERKSHIRE HATHAWAY INC,8350,12/31/1998,,19121610,200000000,,,COCA COLA CO,KO,,67.00,2465
BERKSHIRE HATHAWAY INC,8350,12/31/1998,,37576610,96000000,,,GILLETTE CO,G,,47.81,1109
BERKSHIRE HATHAWAY INC,8350,12/31/1998,,55261F10,506930,,,M & T BK CORP,MTB,,518.94,8
BERKSHIRE HATHAWAY INC,8350,12/31/1998,,69362210,1208032,,,PS GROUP HLDG INC,PSG,,11.75,6
BERKSHIRE HATHAWAY INC,8350,12/31/1998,,86791410,6641400,,,SUNTRUST BKS INC,STI,,76.50,210
BERKSHIRE HATHAWAY INC,8350,12/31/1998,,93964010,1727765,,,WASHINGTON POST CO,WPO,,577.94,8
BERKSHIRE HATHAWAY INC,8350,12/31/1998,,95081710,5703087,,,WESCO FINL CORP,WSC,,354.75,7
BERKSHIRE HATHAWAY INC.,8350,03/31/1999,12/31/1998,02581610,50536900,0,,AMERICAN EXPRESS CO,AXP,134,117.75,453
BERKSHIRE HATHAWAY INC.,8350,03/31/1999,12/31/1998,19121610,200000000,0,,COCA COLA CO,KO,115,61.38,2467
BERKSHIRE HATHAWAY INC.,8350,03/31/1999,12/31/1998,37576610,96000000,0,,GILLETTE CO,G,117,59.44,1109
BERKSHIRE HATHAWAY INC.,8350,03/31/1999,12/31/1998,55261F10,506930,0,,M & T BK CORP,MTB,105,479.00,8
BERKSHIRE HATHAWAY INC.,8350,03/31/1999,12/31/1998,69362210,1208032,0,,PS GROUP HLDG INC,PSG,103,8.13,6
BERKSHIRE HATHAWAY INC.,8350,03/31/1999,12/31/1998,86791410,6641400,0,,SUNTRUST BKS INC,STI,105,62.25,321
BERKSHIRE HATHAWAY INC.,8350,03/31/1999,12/31/1998,93964010,1727765,1727765,,WASHINGTON POST CO,WPO,127,521.50,8
BERKSHIRE HATHAWAY INC.,8350,03/31/1999,12/31/1998,95081710,5703087,0,,WESCO FINL CORP,WSC,124,338.00,7
BERKSHIRE HATHAWAY INC.,8350,06/30/1999,03/31/1999,02581610,50536900,0,,AMERICAN EXPRESS CO,AXP,105,130.13,451
BERKSHIRE HATHAWAY INC.,8350,06/30/1999,03/31/1999,19121610,200000000,0,,COCA COLA CO,KO,115,62.00,2468
BERKSHIRE HATHAWAY INC.,8350,06/30/1999,03/31/1999,37576610,96000000,0,,GILLETTE CO,G,117,41.00,1107
BERKSHIRE HATHAWAY INC.,8350,06/30/1999,03/31/1999,55261F10,506930,0,,M & T BK CORP,MTB,105,550.00,8
BERKSHIRE HATHAWAY INC.,8350,06/30/1999,03/31/1999,69362210,1208032,0,,PS GROUP HLDG INC,PSG,103,10.94,6
BERKSHIRE HATHAWAY INC.,8350,06/30/1999,03/31/1999,86791410,6641400,0,,SUNTRUST BKS INC,STI,105,69.44,322
BERKSHIRE HATHAWAY INC.,8350,06/30/1999,03/31/1999,93964010,1727765,0,,WASHINGTON POST CO,WPO,127,537.75,8
BERKSHIRE HATHAWAY INC.,8350,06/30/1999,03/31/1999,95081710,5703087,0,,WESCO FINL CORP,WSC,124,310.00,7
BERKSHIRE HATHAWAY INC.,8350,09/30/1999,06/30/1999,02581610,50536900,0,,AMERICAN EXPRESS CO,AXP,105,166.25,448
BERKSHIRE HATHAWAY INC.,8350,09/30/1999,06/30/1999,19121610,200000000,0,,COCA COLA CO,KO,115,58.25,2470
BERKSHIRE HATHAWAY INC.,8350,09/30/1999,06/30/1999,37576610,96000000,0,,GILLETTE CO,G,117,41.19,1073
BERKSHIRE HATHAWAY INC.,8350,09/30/1999,06/30/1999,55261F10,506930,0,,M & T BK CORP,MTB,105,414.25,8
BERKSHIRE HATHAWAY INC.,8350,09/30/1999,06/30/1999,69362210,1208032,0,,PS GROUP HLDG INC,PSG,103,11.25,6
BERKSHIRE HATHAWAY INC.,8350,09/30/1999,06/30/1999,86791410,6641400,0,,SUNTRUST BKS INC,STI,105,68.81,320
BERKSHIRE HATHAWAY INC.,8350,09/30/1999,06/30/1999,93964010,1727765,0,,WASHINGTON POST CO,WPO,127,555.88,8
BERKSHIRE HATHAWAY INC.,8350,09/30/1999,06/30/1999,95081710,5703087,0,,WESCO FINL CORP,WSC,124,245.00,7
BERKSHIRE HATHAWAY INC.,8350,12/31/1999,09/30/1999,02581610,50536900,0,,AMERICAN EXPRESS CO,AXP,105,166.25,448
BERKSHIRE HATHAWAY INC.,8350,12/31/1999,09/30/1999,17296710,8062349,0,8062349,CITIGROUP INC,C,119,55.69,3372
BERKSHIRE HATHAWAY INC.,8350,12/31/1999,09/30/1999,19121610,200000000,0,,COCA COLA CO,KO,115,58.25,2470
BERKSHIRE HATHAWAY INC.,8350,12/31/1999,09/30/1999,26483B10,12122800,0,12122800,DUN & BRADSTREET CORP DEL,DNB,111,29.50,161
BERKSHIRE HATHAWAY INC.,8350,12/31/1999,09/30/1999,36144810,2634500,0,2634500,GATX CORP,GMT,134,33.75,49
BERKSHIRE HATHAWAY INC.,8350,12/31/1999,09/30/1999,37576610,96000000,0,,GILLETTE CO,G,117,41.19,1073
BERKSHIRE HATHAWAY INC.,8350,12/31/1999,09/30/1999,39056810,4258200,0,4258200,GREAT LAKES CHEM CORP,GLK,107,38.19,58
BERKSHIRE HATHAWAY INC.,8350,12/31/1999,09/30/1999,48007410,12125000,0,12125000,JONES APPAREL GROUP INC,JNY,132,27.13,123
BERKSHIRE HATHAWAY INC.,8350,12/31/1999,09/30/1999,55261F10,510310,0,3380,M & T BK CORP,MTB,105,414.25,8
BERKSHIRE HATHAWAY INC.,8350,12/31/1999,09/30/1999,69362210,1208032,0,,PS GROUP HLDG INC,PSG,103,11.25,6
BERKSHIRE HATHAWAY INC.,8350,12/31/1999,09/30/1999,76071910,159000,0,159000,REPUBLIC N Y CORP,RNB,120,72.00,105
BERKSHIRE HATHAWAY INC.,8350,12/31/1999,09/30/1999,86791410,6641400,0,,SUNTRUST BKS INC,STI,105,68.81,320
BERKSHIRE HATHAWAY INC.,8350,12/31/1999,09/30/1999,89102710,662562,0,662562,TORCHMARK CORP,TMK,119,29.06,132
BERKSHIRE HATHAWAY INC.,8350,12/31/1999,09/30/1999,93964010,1727765,0,,WASHINGTON POST CO,WPO,127,555.88,8
BERKSHIRE HATHAWAY INC.,8350,12/31/1999,09/30/1999,95081710,5703087,0,,WESCO FINL CORP,WSC,124,245.00,7
BERKSHIRE HATHAWAY INC.,8350,12/31/1999,09/30/1999,98939010,816655,0,816655,ZENITH NATL INS CORP,ZNT,119,20.63,17
BERKSHIRE HATHAWAY INC.,8350,03/31/2000,,02581610,50536900,,,AMERICAN EXPRESS CO,AXP,,148.94,448
BERKSHIRE HATHAWAY INC.,8350,03/31/2000,,17296710,5512325,,-2550024,CITIGROUP INC,C,,59.88,3356
BERKSHIRE HATHAWAY INC.,8350,03/31/2000,,19121610,200000000,,,COCA COLA CO,KO,,46.94,2472
BERKSHIRE HATHAWAY INC.,8350,03/31/2000,,26483B10,24000000,,11877200,DUN & BRADSTREET CORP DEL,DNB,,28.63,161
BERKSHIRE HATHAWAY INC.,8350,03/31/2000,,36144810,7340700,,4706200,GATX CORP,GMT,,38.00,48
BERKSHIRE HATHAWAY INC.,8350,03/31/2000,,37576610,96000000,,,GILLETTE CO,G,,37.69,1055
BERKSHIRE HATHAWAY INC.,8350,03/31/2000,,39056810,6480700,,2222500,GREAT LAKES CHEM CORP,GLK,,34.00,54
BERKSHIRE HATHAWAY INC.,8350,03/31/2000,,48007410,15750000,,3625000,JONES APPAREL GROUP INC,JNY,,31.63,117
BERKSHIRE HATHAWAY INC.,8350,03/31/2000,,86791410,5781400,,-860000,SUNTRUST BKS INC,STI,,57.75,308
BERKSHIRE HATHAWAY INC.,8350,03/31/2000,,93964010,1727765,,,WASHINGTON POST CO,WPO,,541.00,8
BERKSHIRE HATHAWAY INC.,8350,03/31/2000,,95081710,5703087,,,WESCO FINL CORP,WSC,,255.00,7
BERKSHIRE HATHAWAY INC.,8350,03/31/2000,,98939010,816655,,,ZENITH NATL INS CORP,ZNT,,22.19,17
BERKSHIRE HATHAWAY INC.,8350,06/30/2000,03/31/2000,02581610,151610700,0,,AMERICAN EXPRESS CO,AXP,105,60.75,1332
BERKSHIRE HATHAWAY INC.,8350,06/30/2000,03/31/2000,17123210,2109800,0,2109800,CHUBB CORP,CB,119,79.13,175
BERKSHIRE HATHAWAY INC.,8350,06/30/2000,03/31/2000,17296710,5635112,0,-1714636,CITIGROUP INC,C,120,54.19,4498
BERKSHIRE HATHAWAY INC.,8350,06/30/2000,03/31/2000,19121610,200000000,0,,COCA COLA CO,KO,115,55.13,2477
BERKSHIRE HATHAWAY INC.,8350,06/30/2000,03/31/2000,26483B10,24000000,0,,DUN & BRADSTREET CORP DEL,DNB,114,34.44,162
BERKSHIRE HATHAWAY INC.,8350,06/30/2000,03/31/2000,28102010,921000,0,921000,EDISON INTL,EIX,135,19.31,326
BERKSHIRE HATHAWAY INC.,8350,06/30/2000,03/31/2000,31340030,48013200,0,48013200,FEDERAL HOME LN MTG CORP,FRE,105,54.06,697
BERKSHIRE HATHAWAY INC.,8350,06/30/2000,03/31/2000,31996310,9694000,0,9694000,FIRST DATA CORP,FDC,108,39.06,412
BERKSHIRE HATHAWAY INC.,8350,06/30/2000,03/31/2000,36144810,7340700,0,,GATX CORP,GMT,134,41.88,48
BERKSHIRE HATHAWAY INC.,8350,06/30/2000,03/31/2000,36473010,3636800,0,3636800,GANNETT INC,GCI,127,53.00,264
BERKSHIRE HATHAWAY INC.,8350,06/30/2000,03/31/2000,37576610,96000000,0,,GILLETTE CO,G,117,30.88,1053
BERKSHIRE HATHAWAY INC.,8350,06/30/2000,03/31/2000,39056810,7000000,0,519300,GREAT LAKES CHEM CORP,GLK,107,29.31,54
BERKSHIRE HATHAWAY INC.,8350,06/30/2000,03/31/2000,48007410,15750000,0,,JONES APPAREL GROUP INC,JNY,132,26.50,119
BERKSHIRE HATHAWAY INC.,8350,06/30/2000,03/31/2000,53932010,4894500,0,4894500,LIZ CLAIBORNE INC,LIZ,132,38.50,53
BERKSHIRE HATHAWAY INC.,8350,06/30/2000,03/31/2000,65410610,6440600,0,6440600,NIKE INC,NKE,132,40.06,170
BERKSHIRE HATHAWAY INC.,8350,06/30/2000,03/31/2000,82028K20,14288100,0,14288100,SHAW COMMUNICATIONS INC,SJR,131,22.93,179
BERKSHIRE HATHAWAY INC.,8350,06/30/2000,03/31/2000,86791410,6641400,0,860000,SUNTRUST BKS INC,STI,105,49.81,298
BERKSHIRE HATHAWAY INC.,8350,06/30/2000,03/31/2000,90291110,1520900,0,1520900,UST INC,UST,133,22.88,162
BERKSHIRE HATHAWAY INC.,8350,06/30/2000,03/31/2000,93964010,1727765,1727765,,WASHINGTON POST CO,WPO,127,527.88,8
BERKSHIRE HATHAWAY INC.,8350,06/30/2000,03/31/2000,95081710,5703087,0,,WESCO FINL CORP,WSC,124,251.00,7
BERKSHIRE HATHAWAY INC.,8350,06/30/2000,03/31/2000,98939010,816655,0,,ZENITH NATL INS CORP,ZNT,119,21.88,17
BERKSHIRE HATHAWAY INC.,8350,09/30/2000,06/30/2000,02581610,151610700,0,,AMERICAN EXPRESS CO,AXP,105,60.75,1332
BERKSHIRE HATHAWAY INC.,8350,09/30/2000,06/30/2000,17296710,4964815,0,-670298,CITIGROUP INC,C,120,54.19,4498
BERKSHIRE HATHAWAY INC.,8350,09/30/2000,06/30/2000,19121610,200000000,0,,COCA COLA CO,KO,115,55.13,2477
BERKSHIRE HATHAWAY INC.,8350,09/30/2000,06/30/2000,26483B10,24000000,0,,DUN & BRADSTREET CORP DEL,DNB,114,34.44,162
BERKSHIRE HATHAWAY INC.,8350,09/30/2000,06/30/2000,31996310,9544900,0,-149100,FIRST DATA CORP,FDC,108,39.06,412
BERKSHIRE HATHAWAY INC.,8350,09/30/2000,06/30/2000,36144810,7340700,0,,GATX CORP,GMT,134,41.88,48
BERKSHIRE HATHAWAY INC.,8350,09/30/2000,06/30/2000,36473010,3636800,0,,GANNETT INC,GCI,127,53.00,264
BERKSHIRE HATHAWAY INC.,8350,09/30/2000,06/30/2000,37576610,96000000,0,,GILLETTE CO,G,117,30.88,1053
BERKSHIRE HATHAWAY INC.,8350,09/30/2000,06/30/2000,39056810,7000000,0,,GREAT LAKES CHEM CORP,GLK,107,29.31,54
BERKSHIRE HATHAWAY INC.,8350,09/30/2000,06/30/2000,48007410,15750000,0,,JONES APPAREL GROUP INC,JNY,132,26.50,119
BERKSHIRE HATHAWAY INC.,8350,09/30/2000,06/30/2000,49348210,26000,0,26000,KEYSTONE FINANCIAL INC,KSTN,105,21.75,49
BERKSHIRE HATHAWAY INC.,8350,09/30/2000,06/30/2000,53932010,4894500,0,,LIZ CLAIBORNE INC,LIZ,132,38.50,53
BERKSHIRE HATHAWAY INC.,8350,09/30/2000,06/30/2000,55261F10,669910,0,669910,M & T BK CORP,MTB,105,510.00,8
BERKSHIRE HATHAWAY INC.,8350,09/30/2000,06/30/2000,65410610,5926800,0,-513800,NIKE INC,NKE,132,40.06,170
BERKSHIRE HATHAWAY INC.,8350,09/30/2000,06/30/2000,82028610,2194200,0,2194200,SHAW INDS INC,SHX,132,18.50,127
BERKSHIRE HATHAWAY INC.,8350,09/30/2000,06/30/2000,82028K20,13788100,0,-500000,SHAW COMMUNICATIONS INC,SJR,131,22.93,179
BERKSHIRE HATHAWAY INC.,8350,09/30/2000,06/30/2000,86791410,6641400,0,,SUNTRUST BKS INC,STI,105,49.81,298
BERKSHIRE HATHAWAY INC.,8350,09/30/2000,06/30/2000,86816810,179400,0,179400,SUPERIOR INDS INTL INC,SUP,104,30.00,26
BERKSHIRE HATHAWAY INC.,8350,09/30/2000,06/30/2000,89102710,2073462,0,2073462,TORCHMARK CORP,TMK,119,27.81,128
BERKSHIRE HATHAWAY INC.,8350,09/30/2000,06/30/2000,89595310,174500,0,174500,TRICON GLOBAL RESTAURANTS,YUM,115,30.63,146
BERKSHIRE HATHAWAY INC.,8350,09/30/2000,06/30/2000,90297310,21495001,0,21495001,US BANCORP DEL,USB,105,22.75,746
BERKSHIRE HATHAWAY INC.,8350,09/30/2000,06/30/2000,93964010,1727765,0,,WASHINGTON POST CO,WPO,127,527.88,8
BERKSHIRE HATHAWAY INC.,8350,09/30/2000,06/30/2000,95081710,5703087,0,,WESCO FINL CORP,WSC,124,251.00,7
BERKSHIRE HATHAWAY INC.,8350,09/30/2000,06/30/2000,98939010,816655,0,,ZENITH NATL INS CORP,ZNT,119,21.88,17
BERKSHIRE HATHAWAY INC.,8350,12/31/2000,09/30/2000,02581610,151610700,0,,AMERICAN EXPRESS CO,AXP,105,54.94,1330
BERKSHIRE HATHAWAY INC.,8350,12/31/2000,09/30/2000,09367110,7697500,0,7697500,BLOCK H & R INC,HRB,114,41.38,92
BERKSHIRE HATHAWAY INC.,8350,12/31/2000,09/30/2000,17296710,4600559,0,-364256,CITIGROUP INC,C,120,51.06,4492
BERKSHIRE HATHAWAY INC.,8350,12/31/2000,09/30/2000,19121610,200000000,0,,COCA COLA CO,KO,115,60.94,2480
BERKSHIRE HATHAWAY INC.,8350,12/31/2000,09/30/2000,25468710,318342,0,318342,DISNEY WALT CO,DIS,113,28.94,2085
BERKSHIRE HATHAWAY INC.,8350,12/31/2000,09/30/2000,26483E10,12000000,0,,DUN & BRADSTREET CORP DEL NE,DNB,114,25.88,81
BERKSHIRE HATHAWAY INC.,8350,12/31/2000,09/30/2000,36092110,795200,0,795200,FURNITURE BRANDS INTL INC,FBN,117,21.06,50
BERKSHIRE HATHAWAY INC.,8350,12/31/2000,09/30/2000,36144810,7340700,0,,GATX CORP,GMT,134,49.88,48
BERKSHIRE HATHAWAY INC.,8350,12/31/2000,09/30/2000,36473010,3636800,0,,GANNETT INC,GCI,127,63.06,264
BERKSHIRE HATHAWAY INC.,8350,12/31/2000,09/30/2000,37576610,96000000,0,,GILLETTE CO,G,117,36.13,1053
BERKSHIRE HATHAWAY INC.,8350,12/31/2000,09/30/2000,39056810,7000000,0,,GREAT LAKES CHEM CORP,GLK,107,37.19,54
BERKSHIRE HATHAWAY INC.,8350,12/31/2000,09/30/2000,42804010,1907100,0,1907100,HERTZ CORP,HRZ,110,34.13,40
BERKSHIRE HATHAWAY INC.,8350,12/31/2000,09/30/2000,47812910,4786900,0,4786900,JOHNS MANVILLE CORP NEW,JM,118,12.94,148
BERKSHIRE HATHAWAY INC.,8350,12/31/2000,09/30/2000,48007410,15750000,0,,JONES APPAREL GROUP INC,JNY,132,32.19,119
BERKSHIRE HATHAWAY INC.,8350,12/31/2000,09/30/2000,50533610,54100,0,54100,LA Z BOY INC,LZB,117,15.75,60
